County,Community,Functional_Class,Dir,Directions,LRS_ID,LRS_Loc_Pt,Latitude,Longitude,Count,NAME,FETYPE,PR
Macomb,Roseville,(5) Major Collector,2-WAY,NB/SB,4208040,2.674009,42.48570743,-82.9274939,3719,Kelly,Rd,4208040
Macomb,Warren,(3) Other Principal Arterial,2-WAY,NB/SB,799108,0.118,42.44985892,-83.02506284,20815,Van Dyke,Ave,799108
Macomb,Warren,(4) Minor Arterial,1-WAY,EB,803208,0.6467772,42.49039246,-83.07735985,17257,11 Mile,Rd,803208
Macomb,Warren,(5) Major Collector,1-WAY,SW,803209,0.4111368,42.48990706,-83.08090374,6125,W I 696 Service Drive, ,803209
Macomb,Roseville,(5) Major Collector,1-WAY,EB,803208,7.37892,42.49435883,-82.94591726,4723,11 Mile,Rd,803208
Macomb,Warren,(3) Other Principal Arterial,2-WAY,NE/SW,803009,0.111,42.45032739,-83.00167721,16768,Groesbeck,Hwy,803009
Macomb,-,(3) Other Principal Arterial,2-WAY,NE/SW,803009,10.717,42.5848795,-82.90283982,24391,Groesbeck,Hwy,803009
Macomb,Roseville,(3) Other Principal Arterial,2-WAY,NE/SW,804806,6.917,42.53992032,-82.90865505,47837,Gratiot,Ave,804806
Macomb,Warren,(3) Other Principal Arterial,2-WAY,NB/SB,799108,4.14,42.50804255,-83.02839351,40607,Van Dyke,Ave,799108
Macomb,Sterling Heights,(3) Other Principal Arterial,2-WAY,EB/WB,803608,1.217559,42.56452348,-83.0649304,61063,Metropolitan,Pkwy,803608
Macomb,Roseville,(1) Interstate,RAMP,SB,801509,0.286,42.52456145,-82.9164179,15644,Gratiot/W I 94 Connector, ,801509
Macomb,Sterling Heights,(3) Other Principal Arterial,2-WAY,EB/WB,803608,4.542316,42.56661333,-82.99985102,45147,Metropolitan,Pkwy,803608
Macomb,Sterling Heights,(3) Other Principal Arterial,2-WAY,NB/SB,4210208,2.316297,42.58053694,-83.03011,49889,Van Dyke,Ave,4210208
Macomb,Warren,(7) Local Road or Street,2-WAY,NB/SB,805502,0.2033477,42.4913474,-83.05926022,1477,Merideth,Dr,805502
