,County,Community,Functional_Class,Dir,Directions,LRS_ID,LRS_Loc_Pt,Latitude,Longitude,Count,NAME,FETYPE,PR
240,Macomb,WARREN,(4) Minor Arterial,1-WAY,SE,,,42.490382,-83.080483,231,,,
367,OAKLAND,Southfield,(5) Major Collector,1-WAY,EB,,,42.4868,-83.248535,4575,,,
388,OAKLAND,ROYAL OAK,(5) Major Collector,RAMP,EB,1903610.0,0.044,42.476515,-83.147198,18395,,,
463,Oakland,MADISON HEIGHTS,(1) Interstate,RAMP,SB,,,42.504668,-83.117042,4276,,,
464,Oakland,MADISON HEIGHTS,(1) Interstate,RAMP,SB,694202.0,0.1600993,42.53188925,-83.11660614,18244,,,
559,Oakland,SOUTHFIELD,(4) Minor Arterial,2-WAY,NB/SB,666003.0,2.006,42.47281836,-83.24041751,14909,,,
718,Oakland,FARMINGTON,(5) Major Collector,2-WAY,EB/WB,634606.0,0.428,42.452098,-83.346883,717,,,
730,Oakland,FERNDALE,(5) Major Collector,2-WAY,EB/WB,4413567.0,0.0373344,42.44823796,-83.11691096,58,,,
829,Oakland,SOUTHFIELD,(4) Minor Arterial,2-WAY,NB/SB,638109.0,1.233128,42.4869545,-83.29159057,1123,,,
843,Oakland,Troy,(5) Major Collector,2-WAY,EB/WB,681204.0,0.7288711,42.55667408,-83.15809292,6985,,,
913,Oakland,TROY,(1) Interstate,RAMP,NB,694107.0,0.1166719,42.5356385,-83.11541182,8472,,,
914,Oakland,TROY,(1) Interstate,RAMP,NB,,0.096,42.559931,-83.154302,2624,,,
918,Oakland,-,(1) Interstate,RAMP,NB,1854302.0,0.107,42.559473,-83.153372,9362,,,
919,Oakland,-,(1) Interstate,RAMP,SB,1854307.0,0.148,42.560381,-83.157683,9077,,,
920,Oakland,-,(1) Interstate,RAMP,NB,1854302.0,0.861,42.564975,-83.15837,8996,,,
921,Oakland,-,(1) Interstate,RAMP,SB,1854307.0,0.923,42.564983,-83.15959,8615,,,
922,Oakland,TROY,(1) Interstate,RAMP,SB,,,42.55806,-83.129932,992,,,
923,Oakland,TROY,(1) Interstate,RAMP,SB,,,42.558516,-83.129935,12956,,,
924,Oakland,TROY,(1) Interstate,RAMP,NB,,,42.560394,-83.129079,4602,,,
925,Oakland,TROY,(1) Interstate,RAMP,SB,,0.055,42.560979,-83.158385,3929,,,
927,Oakland,TROY,(1) Interstate,RAMP,SB,,0.149,42.563313,-83.160122,1900,,,
992,Wayne,TAYLOR,(1) Interstate,RAMP,SB,,,42.197793,-83.240961,777,,,
1065,Wayne,TAYLOR,(1) Interstate,RAMP,EB,,,42.263952,-83.271098,7149,,,
1066,Wayne,TAYLOR,(1) Interstate,RAMP,EB,,,42.263863,-83.269697,13008,,,
1068,Wayne,TAYLOR,(1) Interstate,RAMP,WB,,,42.265957,-83.269687,13259,,,
1110,Wayne,DETROIT,(1) Interstate,RAMP,NB,,,42.276003,-83.156134,7551,,,
1155,Wayne,ALLEN PARK,(1) Interstate,RAMP,SE,,,42.264968,-83.222168,9592,,,
1172,Wayne,DETROIT,(1) Interstate,RAMP,SB,1591219.0,0.488,42.345308,-83.044652,29637,,,
1289,Wayne,DETROIT,(1) Interstate,RAMP,SB,,,42.278409,-83.158005,7296,,,
1344,Wayne,DETROIT,(1) Interstate,RAMP,SB,,,42.293084,-83.126442,1589,,,
1345,Wayne,ALLEN PARK,(1) Interstate,RAMP,WB,,,42.286121,-83.19938,3216,,,
1346,Wayne,DETROIT,(1) Interstate,RAMP,EB,,,42.395746,-82.986932,2324,,,
1734,Wayne,ALLEN PARK,(1) Interstate,RAMP,EB,,,42.286729,-83.19421,2616,,,
1881,WAYNE,ALLEN PARK,(4) Minor Arterial,1-WAY,EB,4700003.0,0.013,42.229957,-83.229688,6067,,,
1919,WAYNE,-,(3) Other Principal Arterial,1-WAY,NE,4706062.0,0.024,42.362285,-83.312711,1584,,,
1932,WAYNE,ALLEN PARK,(4) Minor Arterial,2-WAY,EB/WB,4708238.0,0.034,42.230691,-83.229344,6824,,,
1936,Wayne,DETROIT,(5) Major Collector,1-WAY,SB,4711347.0,,42.365931,-83.080341,2752,,,
1952,Wayne,DEARBORN,(5) Major Collector,1-WAY,SW,1597209.0,,42.314516,-83.203891,2638,,,
