OID_,tl_2019_26_bg_GEOID,MEAN_PM25_AVG,FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,Total,Less_than__10_000,F_10_000_to__14_999,F_15_000_to__19_999,F_20_000_to__24_999,F_25_000_to__29_999,F_30_000_to__34_999,F_35_000_to__39_999,F_40_000_to__44_999,F_45_000_to__49_999,F_50_000_to__59_999,F_60_000_to__74_999,F_75_000_to__99_999,F_100_000_to__124_999,F_125_000_to__149_999,F_150_000_to__199_999,F_200_000_or_more,GEO_ID,OBJECTID_1,Total_,No_schooling_completed,Nursery_school,Kindergarten,F1st_grade,F2nd_grade,F3rd_grade,F4th_grade,F5th_grade,F6th_grade,F7th_grade,F8th_grade,F9th_grade,F10th_grade,F11th_grade,F12th_grade__no_diploma,Regular_high_school_diploma,GED_or_alternative_credential,Some_college__less_than_1_year,Some_college__1_or_more_years__no_degree,Associate_s_degree,Bachelor_s_degree,Master_s_degree,Professional_school_degree,Doctorate_degree,GEO_ID_1,OBJECTID_12,Total1,Not_Hispanic_or_Latino,Hispanic_or_Latino,GEO_ID_12,OBJECTID_12_13,Total1_1,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_other_race_alone,Two_or_more_races_,Two_races_including_Some_other_race,Two_races_excluding_Some_other_race__and_three_or_more_races,GEO_ID_12_13,OBJECTID_12_13_14,Median_age,Median_age___Male,Median_age___Female,GEO_ID_12_13_14,OBJECTID_12_13_14_15,Estimate__Total,GEO_ID_12_13_14_15,OBJECTID_12_13_14_15_16,GEOID_1,area1,percent1,area4,percent4,OBJECTID_12_13_14_15_16_17,tl_2019_26_bg_GEOID_1,MEAN_gridcode,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
1,2.61635E+11,7.516025833,837,26,163,500100,1,261635001001.00,Block Group 1,G5030,S,474566,0,42.4482488,-82.9498174,1,563,9,19,20,56,11,78,93,53,39,57,74,33,11,0,0,10,2.61635E+11,,879,13,0,0,0,0,0,0,0,0,0,0,0,0,56,62,229,24,97,199,97,44,48,0,10,,,,1123,0,,,,130,993,0,0,0,0,0,0,0,,,40,37.7,40.4,,,1123,,,,95915.9695,20.21129335,10376.92563,2.186612814,,,13513768.29,,,0.03685983,5.19313E-05
2,2.61635E+11,7.516025833,360,26,163,500100,2,261635001002.00,Block Group 2,G5030,S,290456,0,42.443593,-82.9487847,2,348,70,17,10,12,0,44,52,0,0,38,0,24,22,15,44,0,2.61635E+11,,565,0,0,0,0,0,0,0,0,0,0,0,10,0,35,0,111,24,60,106,84,83,52,0,0,,,,897,15,,,,58,824,0,0,0,0,30,0,30,,,31.4,27.2,36.4,,,912,,,,93991.10992,32.35977094,19896.01965,6.849909945,,,6656572.714,,,0.025927666,3.1782E-05
3,2.61635E+11,7.516025833,361,26,163,500100,3,261635001003.00,Block Group 3,G5030,S,230980,0,42.4384492,-82.9535008,3,248,0,0,8,23,20,64,22,0,11,34,56,10,0,0,0,0,2.61635E+11,,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,20,0,100,57,10,0,0,0,,,,465,0,,,,18,437,0,0,0,0,10,0,10,,,31.5,31.3,48.7,,,465,,,,90344.6268,39.11365666,9437.443556,4.085831555,,,5851923,,,0.020249286,2.5272E-05
4,2.61635E+11,7.516025833,362,26,163,500100,4,261635001004.00,Block Group 4,G5030,S,206376,0,42.4433528,-82.9535775,4,279,8,11,20,38,0,50,31,9,24,47,41,0,0,0,0,0,2.61635E+11,,539,0,0,0,0,0,0,0,0,0,0,0,0,20,30,37,116,53,55,106,116,6,0,0,0,,,,869,0,,,,0,869,0,0,0,0,0,0,0,,,27.8,27.3,28.6,,,869,,,,112546.0255,54.53440891,7002.498609,3.393075152,,,591624.3333,,,0.019015144,2.25818E-05
5,2.61635E+11,7.516025833,395,26,163,500200,1,261635002001.00,Block Group 1,G5030,S,243420,0,42.4481987,-82.959887,5,265,0,0,0,0,25,27,47,45,33,8,48,5,0,27,0,0,2.61635E+11,,493,38,0,0,0,0,0,0,0,0,0,0,0,0,14,0,120,0,36,125,99,34,27,0,0,,,,681,0,,,,142,539,0,0,0,0,0,0,0,,,28.8,28.7,29.1,,,681,,,,70014.0855,28.762877,3599.999706,1.47893596,,,12192292.71,,,0.022005737,2.6637E-05
6,2.61635E+11,7.516025833,396,26,163,500200,2,261635002002.00,Block Group 2,G5030,S,243113,0,42.4445962,-82.959735,6,217,0,0,0,5,28,19,0,0,0,51,29,38,7,18,16,6,2.61635E+11,,429,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,125,26,115,43,38,68,0,0,0,,,,596,0,,,,33,563,0,0,0,0,0,0,0,,,30.7,30.4,33.4,,,596,,,,148012.5169,60.88209865,1152.691075,0.474137277,,,614120.9375,,,0.02195181,2.66021E-05
7,2.61635E+11,7.516025833,397,26,163,500200,3,261635002003.00,Block Group 3,G5030,S,211543,0,42.4439389,-82.9676482,7,238,0,0,0,12,27,13,28,63,44,14,20,17,0,0,0,0,2.61635E+11,,437,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,198,13,60,46,97,6,0,0,0,,,,660,19,,,,19,660,0,0,0,0,0,0,0,,,29.7,30.1,28,,,679,,,,56585.55494,26.74901591,1476.344266,0.697894654,,,3740030.478,,,0.023060762,2.31473E-05
8,2.61635E+11,7.516025833,398,26,163,500200,4,261635002004.00,Block Group 4,G5030,S,241702,0,42.4474175,-82.9665867,8,368,0,0,0,25,18,0,52,34,0,73,47,105,0,0,14,0,2.61635E+11,,584,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,131,0,47,179,100,87,0,0,0,,,,878,0,,,,0,878,0,0,0,0,0,0,0,,,31.9,27.4,36.8,,,878,,,,32798.4639,13.56964741,,,,,11073821.36,,,0.021773059,2.64491E-05
9,2.61635E+11,7.516025833,399,26,163,500300,1,261635003001.00,Block Group 1,G5030,S,405286,0,42.4403505,-82.9611613,9,230,0,23,9,13,30,24,8,18,26,19,54,6,0,0,0,0,2.61635E+11,,335,0,0,0,0,0,0,0,0,0,5,2,0,0,7,15,128,22,25,107,7,17,0,0,0,,,,598,0,,,,26,566,0,0,0,0,6,0,6,,,25.8,26.8,25.5,,,598,,,,121641.1723,30.01368083,17137.74492,4.228558442,,,1672399.323,,,0.032237883,4.43445E-05
10,2.61635E+11,7.516025833,377,26,163,500300,2,261635003002.00,Block Group 2,G5030,S,321801,0,42.436297,-82.9654805,10,248,0,18,8,5,52,20,51,51,4,29,3,3,0,0,0,4,2.61635E+11,,378,11,0,0,0,0,0,0,5,0,0,0,0,8,26,3,128,35,24,70,62,4,2,0,0,,,,531,0,,,,11,488,0,21,0,0,11,0,11,,,28.2,32.6,25.8,,,531,,,,130562.1773,40.57223055,7452.699911,2.315928435,,,4202926.281,,,0.03701731,3.52082E-05
