MEAN_PM25_AVG,GEOID,Median_age,Median_age___Male,Median_age___Female,Estimate__Total,area1,percent1,area4,percent4,MEAN_gridcode,,Less_than__10_000,F_10_000_to__14_999,F_15_000_to__19_999,F_20_000_to__24_999,F_25_000_to__29_999,F_30_000_to__34_999,F_35_000_to__39_999,F_40_000_to__44_999,F_45_000_to__49_999,F_50_000_to__59_999,F_60_000_to__74_999,F_75_000_to__99_999,F_100_000_to__124_999,F_125_000_to__149_999,F_150_000_to__199_999,F_200_000_or_more,No_schooling_completed,Nursery_school,Kindergarten,F1st_grade,F2nd_grade,F3rd_grade,F4th_grade,F5th_grade,F6th_grade,F7th_grade,F8th_grade,F9th_grade,F10th_grade,F11th_grade,F12th_grade__no_diploma,Regular_high_school_diploma,GED_or_alternative_credential,Some_college__less_than_1_year,Some_college__1_or_more_years__no_degree,Associate_s_degree,Bachelor_s_degree,Master_s_degree,Professional_school_degree,Doctorate_degree,Hispanic_or_Latino,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Other
7.516025833,261635001001.00,40,37.7,40.4,1123,95915.9695,20.21129335,10376.92563,2.186612814,13513768.29,,0.01598579,0.03374778,0.035523979,0.09946714,0.019538188,0.138543517,0.165186501,0.094138544,0.069271758,0.101243339,0.131438721,0.058614565,0.019538188,0,0,0.017761989,0.014789534,0,0,0,0,0,0,0,0,0,0,0,0,0.06370876,0.070534699,0.260523322,0.027303754,0.110352673,0.226393629,0.110352673,0.050056883,0.054607509,0,0.011376564,0,0.115761354,0.884238646,0,0,0,0
7.516025833,261635001002.00,31.4,27.2,36.4,912,93991.10992,32.35977094,19896.01965,6.849909945,6656572.714,,0.201149425,0.048850575,0.028735632,0.034482759,0,0.126436782,0.149425287,0,0,0.109195402,0,0.068965517,0.063218391,0.043103448,0.126436782,0,0,0,0,0,0,0,0,0,0,0,0,0.017699115,0,0.061946903,0,0.196460177,0.042477876,0.10619469,0.187610619,0.148672566,0.146902655,0.092035398,0,0,0.016447368,0.063596491,0.903508772,0,0,0,0.065789474
7.516025833,261635001003.00,31.5,31.3,48.7,465,90344.6268,39.11365666,9437.443556,4.085831555,5851923,,0,0,0.032258065,0.092741935,0.080645161,0.258064516,0.088709677,0,0.044354839,0.137096774,0.225806452,0.040322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551558753,0.047961631,0,0.239808153,0.136690647,0.023980815,0,0,0,0,0.038709677,0.939784946,0,0,0,0.043010753
7.516025833,261635001004.00,27.8,27.3,28.6,869,112546.0255,54.53440891,7002.498609,3.393075152,591624.3333,,0.028673835,0.039426523,0.071684588,0.136200717,0,0.17921147,0.111111111,0.032258065,0.086021505,0.168458781,0.146953405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037105751,0.055658627,0.06864564,0.215213358,0.098330241,0.102040816,0.196660482,0.215213358,0.011131725,0,0,0,0,0,1,0,0,0,0
7.516025833,261635002001.00,28.8,28.7,29.1,681,70014.0855,28.762877,3599.999706,1.47893596,12192292.71,,0,0,0,0,0.094339623,0.101886792,0.177358491,0.169811321,0.124528302,0.030188679,0.181132075,0.018867925,0,0.101886792,0,0,0.077079108,0,0,0,0,0,0,0,0,0,0,0,0,0.028397566,0,0.243407708,0,0.073022312,0.253549696,0.200811359,0.068965517,0.054766734,0,0,0,0.208516887,0.791483113,0,0,0,0
7.516025833,261635002002.00,30.7,30.4,33.4,596,148012.5169,60.88209865,1152.691075,0.474137277,614120.9375,,0,0,0,0.023041475,0.129032258,0.087557604,0,0,0,0.235023041,0.133640553,0.175115207,0.032258065,0.082949309,0.073732719,0.02764977,0,0,0,0,0,0,0,0,0,0,0,0.032634033,0,0,0,0.291375291,0.060606061,0.268065268,0.1002331,0.088578089,0.158508159,0,0,0,0,0.055369128,0.944630872,0,0,0,0
7.516025833,261635002003.00,29.7,30.1,28,679,56585.55494,26.74901591,1476.344266,0.697894654,3740030.478,,0,0,0,0.050420168,0.113445378,0.054621849,0.117647059,0.264705882,0.18487395,0.058823529,0.084033613,0.071428571,0,0,0,0,0.020594966,0,0,0,0,0,0,0,0,0,0,0.018306636,0,0,0,0.453089245,0.029748284,0.137299771,0.105263158,0.221967963,0.013729977,0,0,0,0.027982327,0.027982327,0.972017673,0,0,0,0
7.516025833,261635002004.00,31.9,27.4,36.8,878,32798.4639,13.56964741,,,11073821.36,,0,0,0,0.067934783,0.048913043,0,0.141304348,0.092391304,0,0.198369565,0.127717391,0.285326087,0,0,0.038043478,0,0.034246575,0,0,0,0,0,0,0,0,0,0,0,0,0.034246575,0,0.224315068,0,0.080479452,0.306506849,0.171232877,0.148972603,0,0,0,0,0,1,0,0,0,0
7.516025833,261635003001.00,25.8,26.8,25.5,598,121641.1723,30.01368083,17137.74492,4.228558442,1672399.323,,0,0.1,0.039130435,0.056521739,0.130434783,0.104347826,0.034782609,0.07826087,0.113043478,0.082608696,0.234782609,0.026086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0.005970149,0,0,0.020895522,0.044776119,0.382089552,0.065671642,0.074626866,0.319402985,0.020895522,0.050746269,0,0,0,0,0.043478261,0.946488294,0,0,0,0.02006689
7.516025833,261635003002.00,28.2,32.6,25.8,531,130562.1773,40.57223055,7452.699911,2.315928435,4202926.281,,0,0.072580645,0.032258065,0.02016129,0.209677419,0.080645161,0.205645161,0.205645161,0.016129032,0.116935484,0.012096774,0.012096774,0,0,0,0.016129032,0.029100529,0,0,0,0,0,0,0.013227513,0,0,0,0,0.021164021,0.068783069,0.007936508,0.338624339,0.092592593,0.063492063,0.185185185,0.164021164,0.010582011,0.005291005,0,0,0,0.020715631,0.919020716,0,0.039548023,0,0.041431262
