,Loc ID,County,Community,Functional Class,Rural Urban,On,From,To,Approach,At,Dir,Directions,Category,LRS ID,LRS Loc Pt,Latitude,Longitude,Latest,Count
0,01-0001,Alcona,Alcona,(5) Major Collector,R,E Black River Rd,,,EAST OF,E Huron Dr,2-WAY,EB/WB,Primary,1726201.0,3.39692,44.81506492,-83.34776819,459.0,459.0
1,01-0002,Alcona,Millen,(5) Major Collector,R,S Hubbard Lake Rd,,,SOUTH OF,M 72,2-WAY,NB/SB,Primary,1727504.0,3.771748,44.63528626,-83.52438269,248.0,248.0
2,01-0005,Alcona,Curtis,(4) Minor Arterial,R,M-65,,,SOUTH OF,Glennie Rd,2-WAY,NB/SB,Primary,3010827.0,3.844,44.55731416,-83.72411553,2519.0,2519.0
3,01-0007,Alcona,Mitchell,(4) Minor Arterial,R,M-65,,,NORTH OF,Welch Rd,2-WAY,NB/SB,Primary,1725010.0,0.098,44.72817221,-83.80733474,1788.0,1788.0
4,01-0008,Alcona,Mitchell,(4) Minor Arterial,R,M-72,,,WEST OF,M-65 N JCT,2-WAY,EB/WB,Primary,1725101.0,3.98,44.72677694,-83.80932624,1716.0,1716.0
5,01-0009,Alcona,Mitchell,(4) Minor Arterial,R,M-65 M-72,,,SOUTH OF,M-72 N JCT,2-WAY,NB/SB,Primary,1891001.0,0.093,44.72540588,-83.80738247,1521.0,1521.0
6,01-0012,Alcona,Millen,(4) Minor Arterial,R,M-72,,,WEST OF,Bean Hill Rd,2-WAY,EB/WB,Primary,1725102.0,8.185,44.65466855,-83.58080765,1317.0,1317.0
7,01-0013,Alcona,Gustin,(4) Minor Arterial,R,M-72,,,WEST OF,F-41,2-WAY,EB/WB,Primary,1725102.0,15.818,44.65583377,-83.42593627,1621.0,1621.0
8,01-0014,Alcona,Harrisville,(4) Minor Arterial,R,M-72,,,EAST OF,Barlow Rd,2-WAY,EB/WB,Primary,1725102.0,17.049,44.65615274,-83.40096211,1869.0,1869.0
9,01-0020,Alcona,Greenbush,(3) Other Principal Arterial,U,US-23,,,NE OF,Martel Rd,2-WAY,NE/SW,Primary,1725704.0,0.964,44.52535299,-83.31690412,2860.0,2860.0
10,01-0029,Alcona,Caledonia,(3) Other Principal Arterial,R,US-23,N Barlow Rd,E Spruce Rd,BETWEEN,N Barlow Rd AND E Spruce Rd,2-WAY,NW/SE,Primary,1725704.0,25.502,44.84513999,-83.40562857,2223.0,2223.0
11,01-0030,Alcona,Millen,(4) Minor Arterial,R,M-72,,,EAST OF,M-65 S JCT,2-WAY,EB/WB,Primary,1725102.0,0.094,44.65361926,-83.74497811,1252.0,1252.0
12,01-0031,Alcona,Millen,(4) Minor Arterial,R,M-65,,,SOUTH OF,M-72 S JCT,2-WAY,NB/SB,Primary,3010827.0,10.851,44.652136,-83.74686597,1506.0,1506.0
13,01-0032,Alcona,HARRISVILLE,(3) Other Principal Arterial,R,US-23,,,SOUTH OF,Main St,2-WAY,NB/SB,Primary,1725704.0,10.329,44.65539751,-83.29643149,4101.0,4101.0
14,01-1601,Alcona,HARRISVILLE,(3) Other Principal Arterial,R,US-23 (STATE ST),,,NORTH OF,Main St,2-WAY,NB/SB,Primary,1725704.0,10.525,44.6579081,-83.29479145,3102.0,3102.0
15,01-1603,Alcona,HARRISVILLE,(4) Minor Arterial,R,M-72 (MAIN),,,WEST OF,US-23 (State St),2-WAY,EB/WB,Primary,1725102.0,22.25,44.65651586,-83.29544011,1934.0,1934.0
16,01-5001,Alcona,Caledonia,(5) Major Collector,R,Hubbard Lake Trl,,,WEST OF,N Stout Rd,2-WAY,EB/WB,Primary,1725103.0,13.18566,44.85054856,-83.64151317,201.0,201.0
17,01-5002,Alcona,Caledonia,(5) Major Collector,R,SPRUCE RD,,,WEST OF,F-41,2-WAY,EB/WB,Primary,1730319.0,7.584939,44.84418688,-83.42378997,408.0,408.0
18,01-5003,Alcona,Caledonia,(4) Minor Arterial,R,F 41,,,NORTH OF,Black River Rd,2-WAY,NB/SB,Primary,1727201.0,21.89594,44.82734535,-83.40454355,1952.0,1952.0
19,01-5004,Alcona,Alcona,(5) Major Collector,R,BLACK RIVER RD,,,WEST OF,Sayers Rd,2-WAY,EB/WB,Primary,1726201.0,1.285581,44.81512691,-83.39072588,362.0,362.0
20,01-5005,Alcona,Haynes,(5) Major Collector,R,ALCONA RD,,,,E OF US-23 W OF LAKE SHORE,2-WAY,EB/WB,Primary,1726103.0,0.2821735,44.7545616,-83.31709261,248.0,248.0
21,01-5006,Alcona,Haynes,(5) Major Collector,R,SHAW RD,,,,E OF JACK W OF MCGREGOR,2-WAY,EB/WB,Primary,1726102.0,0.6304024,44.75013147,-83.39177867,156.0,156.0
22,01-5007,Alcona,Hawes,(5) Major Collector,R,SUCKER CREEK RD,,,,E OF SOMERS W OF BARLOW,2-WAY,EB/WB,Primary,3010855.0,5.464008,44.75701433,-83.41599282,115.0,115.0
23,01-5008,Alcona,Haynes,(5) Major Collector,R,LAKE SHORE DR,,,,S OF POINT RD N OF US-23,2-WAY,NB/SB,Primary,1726009.0,0.8528055,44.70607269,-83.29025184,467.0,467.0
24,01-5009,Alcona,Hawes,(5) Major Collector,R,HUBBARD LAKE RD,,,,N OF MILLER S OF FAIRWAY,2-WAY,NB/SB,Primary,1727504.0,11.13584,44.74193688,-83.52595472,1112.0,1112.0
25,01-5010,Alcona,Hawes,(5) Major Collector,R,HUBBARD LAKE RD,,,,S OF ROBB N OF SUCKER CREEK,2-WAY,NB/SB,Primary,1727504.0,12.82999,44.76631404,-83.52403415,957.0,957.0
26,01-5011,Alcona,Hawes,(5) Major Collector,R,MOUNT MARIA RD,,,,W OF SUCKER CREEK E OF HILLTOP,2-WAY,EB/WB,Primary,1728705.0,0.8263752,44.75484754,-83.54217122,554.0,554.0
27,01-5012,Alcona,Hawes,(5) Major Collector,R,LAKE RD,,,,S OF APSEY N OF SHERMAN,2-WAY,NB/SB,Primary,1726805.0,0.8160203,44.68959232,-83.413628,783.0,783.0
28,01-5013,Alcona,Gustin,(5) Major Collector,R,W Traverse Bay Rd,,,SOUTH OF,E Trask Lake Rd,2-WAY,NB/SB,Primary,1727107.0,11.31636,44.67556721,-83.42341982,1284.0,1284.0
29,01-5014,Alcona,Hawes,(5) Major Collector,R,MAIN ST,,,,E OF CHURCH W OF BARLOW,2-WAY,EB/WB,Primary,1726903.0,0.3360568,44.68499164,-83.407278,974.0,974.0
30,01-5015,Alcona,Harrisville,(4) Minor Arterial,R,BARLOW RD,,,,N OF JASMIN S OF TRAVERSE BAY STATE,2-WAY,NB/SB,Primary,1727201.0,11.54973,44.67751089,-83.40328489,3460.0,3460.0
31,01-5016,Alcona,Gustin,(4) Minor Arterial,R,F 41,,,,S OF CLARK N OF DEWAR,2-WAY,NB/SB,Primary,1727107.0,9.183885,44.64468436,-83.42335716,2095.0,2095.0
32,01-5017,Alcona,Greenbush,(5) Major Collector,R,Mikado Rd,,,,E OF POOR FARM W OF CEDAR LK,2-WAY,EB/WB,Primary,1727407.0,14.08102,44.59100705,-83.34023055,902.0,902.0
