Total:,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,GEO_ID
879,13,0,0,0,0,0,0,0,0,0,0,0,0,56,62,229,24,97,199,97,44,48,0,10,1500000US261635001001
565,0,0,0,0,0,0,0,0,0,0,0,10,0,35,0,111,24,60,106,84,83,52,0,0,1500000US261635001002
417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,20,0,100,57,10,0,0,0,1500000US261635001003
539,0,0,0,0,0,0,0,0,0,0,0,0,20,30,37,116,53,55,106,116,6,0,0,0,1500000US261635001004
493,38,0,0,0,0,0,0,0,0,0,0,0,0,14,0,120,0,36,125,99,34,27,0,0,1500000US261635002001
429,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,125,26,115,43,38,68,0,0,0,1500000US261635002002
437,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,198,13,60,46,97,6,0,0,0,1500000US261635002003
584,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,131,0,47,179,100,87,0,0,0,1500000US261635002004
335,0,0,0,0,0,0,0,0,0,5,2,0,0,7,15,128,22,25,107,7,17,0,0,0,1500000US261635003001
378,11,0,0,0,0,0,0,5,0,0,0,0,8,26,3,128,35,24,70,62,4,2,0,0,1500000US261635003002
242,9,0,0,0,0,0,0,0,0,4,0,0,19,13,0,46,1,59,55,30,0,6,0,0,1500000US261635003003
259,8,0,0,0,0,0,0,0,0,0,17,0,0,0,0,116,17,9,61,9,5,17,0,0,1500000US261635003004
119,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,19,22,32,0,0,0,0,0,1500000US261635004001
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,36,0,0,7,7,0,0,0,1500000US261635004002
254,7,0,0,0,0,0,0,3,0,0,5,0,3,0,26,90,27,14,46,19,14,0,0,0,1500000US261635004003
183,0,0,0,0,0,0,0,0,0,0,0,0,13,0,28,93,19,0,7,18,1,4,0,0,1500000US261635004004
410,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,92,0,64,95,97,31,13,3,0,1500000US261635005001
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,14,0,38,4,0,0,0,0,1500000US261635005002
155,0,0,0,0,0,0,0,5,0,0,0,0,0,6,15,39,0,22,51,17,0,0,0,0,1500000US261635005003
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,22,42,9,12,0,0,0,1500000US261635005004
635,15,0,0,0,0,0,0,0,0,0,0,15,23,33,0,87,103,49,82,146,74,8,0,0,1500000US261635006001
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,136,10,15,90,47,0,7,0,0,1500000US261635006002
240,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,101,0,0,68,58,10,0,0,0,1500000US261635006003
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,50,6,45,5,124,27,0,0,0,1500000US261635006004
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,27,41,0,0,0,0,0,0,1500000US261635006005
636,0,0,0,0,0,0,0,0,33,0,25,0,0,76,0,291,12,22,77,8,74,0,0,18,1500000US261635007001
511,8,0,0,0,0,0,0,0,0,0,0,0,21,31,0,242,32,27,36,79,35,0,0,0,1500000US261635007002
614,0,0,0,0,0,0,0,0,0,0,0,37,87,50,0,258,35,17,73,24,33,0,0,0,1500000US261635007003
858,0,0,0,0,0,0,0,0,0,0,18,29,105,58,81,233,129,10,108,0,87,0,0,0,1500000US261635007004
926,6,0,0,0,0,0,0,0,0,0,15,14,10,60,30,257,129,12,239,80,57,17,0,0,1500000US261635008001
929,18,0,0,0,0,0,0,0,0,0,0,13,29,62,12,325,34,69,178,123,35,31,0,0,1500000US261635008002
1052,0,10,0,0,0,0,0,0,0,0,0,8,17,195,33,403,48,130,183,8,17,0,0,0,1500000US261635009001
533,0,0,0,0,0,0,0,0,0,0,0,32,14,45,0,106,98,25,128,58,17,10,0,0,1500000US261635009002
415,10,0,0,0,0,0,0,0,0,0,0,0,20,51,0,93,10,8,168,46,9,0,0,0,1500000US261635009003
305,0,0,0,0,0,0,0,0,0,0,12,13,44,44,9,36,38,37,21,0,42,9,0,0,1500000US261635009004
559,1,0,0,0,0,0,0,0,0,0,8,0,0,30,60,208,49,33,99,20,26,25,0,0,1500000US261635010001
342,10,0,0,0,0,0,0,0,0,0,0,0,0,37,9,126,15,0,87,58,0,0,0,0,1500000US261635010002
842,0,0,0,0,0,0,0,0,10,0,0,0,49,119,51,279,38,42,230,24,0,0,0,0,1500000US261635010003
260,9,0,0,0,0,0,0,0,0,0,0,0,8,40,36,50,0,52,36,5,9,15,0,0,1500000US261635011001
356,0,0,0,0,0,0,0,0,0,0,0,0,16,9,55,144,0,0,86,33,0,13,0,0,1500000US261635011002
204,0,0,0,0,0,0,0,0,0,0,9,10,0,19,0,104,1,1,28,19,0,13,0,0,1500000US261635011003
584,0,0,0,0,0,0,0,0,0,0,11,14,33,37,9,146,141,95,71,12,0,0,15,0,1500000US261635011004
303,0,0,0,0,0,0,0,0,0,0,59,0,0,27,27,112,0,12,66,0,0,0,0,0,1500000US261635011005
541,9,0,0,0,0,0,0,0,11,4,0,0,26,63,18,221,6,86,75,22,0,0,0,0,1500000US261635012001
472,9,0,4,0,0,0,0,0,0,0,0,0,34,57,17,89,108,5,94,33,6,11,0,5,1500000US261635012002
298,32,0,0,0,0,0,0,0,0,0,0,0,0,42,16,58,21,14,48,17,46,4,0,0,1500000US261635013001
227,0,0,0,0,0,0,0,0,0,6,0,0,34,34,0,56,9,10,50,0,23,5,0,0,1500000US261635013002
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,114,39,63,72,41,23,0,0,0,1500000US261635013003
208,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,65,9,15,94,11,0,0,0,0,1500000US261635013004
641,0,0,0,0,0,0,0,0,0,0,0,8,75,61,0,106,116,50,123,33,26,21,0,22,1500000US261635013005
544,0,0,0,0,0,0,0,0,0,9,1,9,0,0,21,85,42,24,144,110,19,69,0,11,1500000US261635014001
559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,196,12,65,125,0,94,28,19,9,1500000US261635014002
547,0,0,0,0,0,0,0,0,0,0,0,31,44,31,9,151,20,9,0,89,133,9,0,21,1500000US261635014003
424,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,137,0,31,114,26,35,43,0,0,1500000US261635014004
652,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,196,40,41,246,36,44,12,0,0,1500000US261635015001
239,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,122,9,0,0,0,53,0,0,0,1500000US261635015002
404,8,0,0,0,0,0,0,0,0,0,0,0,32,0,7,99,26,31,44,47,69,41,0,0,1500000US261635015003
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,19,64,36,47,24,0,0,1500000US261635015004
840,0,0,0,0,0,0,0,13,0,0,0,13,35,55,15,226,59,33,265,35,30,42,19,0,1500000US261635015005
704,5,0,0,0,0,0,0,10,0,0,18,5,14,21,37,145,97,94,127,73,49,9,0,0,1500000US261635016001
487,0,0,0,0,0,0,0,0,0,0,0,0,3,21,7,163,0,65,159,19,12,27,11,0,1500000US261635016002
740,14,0,0,0,0,0,0,0,0,0,38,18,51,13,26,219,57,41,151,58,41,13,0,0,1500000US261635017001
739,0,0,0,0,0,0,0,0,0,0,46,47,31,66,5,277,21,14,131,54,30,12,5,0,1500000US261635017002
726,3,0,0,0,0,0,0,15,0,0,0,3,3,49,0,144,37,46,183,76,98,69,0,0,1500000US261635018001
902,13,0,0,0,0,0,0,0,0,0,0,25,0,0,0,89,86,29,401,128,65,24,32,10,1500000US261635018002
672,0,0,0,0,0,0,0,0,0,0,0,20,12,9,15,255,0,79,52,106,75,33,16,0,1500000US261635018003
974,0,0,0,0,0,0,0,40,0,0,9,3,0,9,15,139,66,63,109,68,198,168,53,34,1500000US261635018004
415,0,0,0,0,0,0,0,0,0,10,15,3,0,8,0,167,22,29,91,31,34,5,0,0,1500000US261635019001
290,4,0,0,0,0,0,0,0,0,0,0,0,5,50,0,102,21,22,57,17,5,7,0,0,1500000US261635019002
444,0,0,0,0,0,0,0,0,0,0,0,0,25,0,58,109,7,32,113,28,47,25,0,0,1500000US261635019003
491,0,0,0,0,0,0,0,0,0,0,10,0,28,69,11,60,119,33,111,28,9,13,0,0,1500000US261635019004
634,5,0,0,0,0,0,0,0,0,0,7,9,17,46,3,139,64,20,163,74,19,62,0,6,1500000US261635020001
480,0,0,0,0,0,0,0,0,0,0,16,0,0,20,19,167,21,10,103,47,24,45,8,0,1500000US261635020002
828,0,9,0,0,0,0,0,0,10,7,0,0,6,17,16,312,51,57,154,146,23,15,0,5,1500000US261635031001
654,7,0,0,0,0,0,0,0,0,0,0,7,12,22,61,260,29,38,142,41,31,0,0,4,1500000US261635031002
505,8,0,0,0,0,0,0,0,0,0,5,0,19,11,11,163,0,47,92,133,6,10,0,0,1500000US261635031003
592,23,0,0,0,0,0,0,0,0,0,0,0,8,41,10,200,38,59,47,158,0,8,0,0,1500000US261635032001
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,30,27,67,40,0,0,0,0,1500000US261635032002
