Total:,Not Hispanic or Latino,Hispanic or Latino,GEO_ID
1123,1123,0,1500000US261635001001
912,897,15,1500000US261635001002
465,465,0,1500000US261635001003
869,869,0,1500000US261635001004
681,681,0,1500000US261635002001
596,596,0,1500000US261635002002
679,660,19,1500000US261635002003
878,878,0,1500000US261635002004
598,598,0,1500000US261635003001
531,531,0,1500000US261635003002
388,387,1,1500000US261635003003
383,378,5,1500000US261635003004
200,194,6,1500000US261635004001
146,146,0,1500000US261635004002
383,383,0,1500000US261635004003
323,323,0,1500000US261635004004
672,665,7,1500000US261635005001
280,280,0,1500000US261635005002
217,217,0,1500000US261635005003
120,120,0,1500000US261635005004
918,918,0,1500000US261635006001
593,593,0,1500000US261635006002
416,416,0,1500000US261635006003
380,380,0,1500000US261635006004
584,584,0,1500000US261635006005
1386,1386,0,1500000US261635007001
998,998,0,1500000US261635007002
956,956,0,1500000US261635007003
1268,1268,0,1500000US261635007004
1618,1608,10,1500000US261635008001
1561,1561,0,1500000US261635008002
1635,1635,0,1500000US261635009001
799,774,25,1500000US261635009002
667,667,0,1500000US261635009003
449,449,0,1500000US261635009004
832,832,0,1500000US261635010001
423,423,0,1500000US261635010002
1839,1839,0,1500000US261635010003
386,386,0,1500000US261635011001
514,514,0,1500000US261635011002
319,317,2,1500000US261635011003
995,919,76,1500000US261635011004
672,615,57,1500000US261635011005
968,968,0,1500000US261635012001
680,680,0,1500000US261635012002
497,487,10,1500000US261635013001
279,273,6,1500000US261635013002
680,680,0,1500000US261635013003
244,244,0,1500000US261635013004
1311,1311,0,1500000US261635013005
761,760,1,1500000US261635014001
885,885,0,1500000US261635014002
757,757,0,1500000US261635014003
855,855,0,1500000US261635014004
1108,1108,0,1500000US261635015001
672,672,0,1500000US261635015002
595,595,0,1500000US261635015003
511,511,0,1500000US261635015004
1630,1604,26,1500000US261635015005
1222,1212,10,1500000US261635016001
927,916,11,1500000US261635016002
984,951,33,1500000US261635017001
904,904,0,1500000US261635017002
1063,1022,41,1500000US261635018001
1182,1182,0,1500000US261635018002
985,957,28,1500000US261635018003
1503,1433,70,1500000US261635018004
771,761,10,1500000US261635019001
481,407,74,1500000US261635019002
556,556,0,1500000US261635019003
1064,1064,0,1500000US261635019004
1307,1307,0,1500000US261635020001
769,747,22,1500000US261635020002
1286,1286,0,1500000US261635031001
984,979,5,1500000US261635031002
826,826,0,1500000US261635031003
1091,1091,0,1500000US261635032001
580,580,0,1500000US261635032002
782,782,0,1500000US261635032003
707,707,0,1500000US261635033001
982,982,0,1500000US261635033002
1288,1277,11,1500000US261635033003
531,531,0,1500000US261635033004
610,610,0,1500000US261635034001
345,345,0,1500000US261635034002
664,664,0,1500000US261635035001
279,279,0,1500000US261635035002
842,842,0,1500000US261635035003
250,250,0,1500000US261635035004
749,749,0,1500000US261635035005
296,292,4,1500000US261635036001
290,290,0,1500000US261635036002
845,845,0,1500000US261635036003
472,378,94,1500000US261635039001
259,259,0,1500000US261635039002
1340,1340,0,1500000US261635039003
807,807,0,1500000US261635040001
434,434,0,1500000US261635040002
231,231,0,1500000US261635041001
371,371,0,1500000US261635041002
755,755,0,1500000US261635041003
503,503,0,1500000US261635042001
609,609,0,1500000US261635042002
585,585,0,1500000US261635042003
229,229,0,1500000US261635042004
540,540,0,1500000US261635043001
745,745,0,1500000US261635043002
782,782,0,1500000US261635043003
534,534,0,1500000US261635044001
427,427,0,1500000US261635044002
606,606,0,1500000US261635044003
622,622,0,1500000US261635047001
695,695,0,1500000US261635047002
397,397,0,1500000US261635047003
210,210,0,1500000US261635048001
381,381,0,1500000US261635048002
520,520,0,1500000US261635049001
695,695,0,1500000US261635049002
1433,1433,0,1500000US261635049003
838,838,0,1500000US261635049004
579,573,6,1500000US261635050001
216,216,0,1500000US261635050002
1683,1683,0,1500000US261635051001
658,658,0,1500000US261635051002
755,755,0,1500000US261635051003
120,120,0,1500000US261635051004
520,496,24,1500000US261635051005
977,977,0,1500000US261635052001
434,434,0,1500000US261635052002
368,368,0,1500000US261635052003
1182,1159,23,1500000US261635052004
994,994,0,1500000US261635054001
430,430,0,1500000US261635054002
339,339,0,1500000US261635054003
649,649,0,1500000US261635054004
667,662,5,1500000US261635055001
495,495,0,1500000US261635055002
1230,1230,0,1500000US261635061001
784,716,68,1500000US261635061002
1233,1233,0,1500000US261635062001
741,741,0,1500000US261635062002
477,477,0,1500000US261635063001
570,566,4,1500000US261635063002
745,745,0,1500000US261635063003
376,269,107,1500000US261635064001
514,514,0,1500000US261635064002
1125,1072,53,1500000US261635064003
510,477,33,1500000US261635065001
806,806,0,1500000US261635065002
825,812,13,1500000US261635065003
682,679,3,1500000US261635066001
1317,1213,104,1500000US261635066002
284,284,0,1500000US261635066003
1140,1140,0,1500000US261635066004
1066,1049,17,1500000US261635067001
941,941,0,1500000US261635068001
885,885,0,1500000US261635068002
1721,1721,0,1500000US261635068003
343,343,0,1500000US261635068004
773,773,0,1500000US261635069001
728,728,0,1500000US261635069002
519,519,0,1500000US261635069003
760,760,0,1500000US261635069004
791,791,0,1500000US261635069005
1468,1468,0,1500000US261635070001
844,844,0,1500000US261635070002
644,644,0,1500000US261635070003
211,211,0,1500000US261635071001
1046,1046,0,1500000US261635071002
310,310,0,1500000US261635071003
515,515,0,1500000US261635071004
442,442,0,1500000US261635072001
649,649,0,1500000US261635072002
1066,1066,0,1500000US261635073001
405,389,16,1500000US261635073002
471,463,8,1500000US261635073003
408,360,48,1500000US261635074001
963,963,0,1500000US261635074002
484,484,0,1500000US261635074003
305,305,0,1500000US261635074004
799,799,0,1500000US261635075001
844,844,0,1500000US261635075002
226,226,0,1500000US261635075003
389,389,0,1500000US261635078001
67,63,4,1500000US261635078002
215,209,6,1500000US261635079001
131,131,0,1500000US261635079002
611,611,0,1500000US261635079003
145,145,0,1500000US261635079004
289,289,0,1500000US261635080001
984,984,0,1500000US261635080002
279,279,0,1500000US261635081001
213,213,0,1500000US261635081002
246,198,48,1500000US261635081003
274,274,0,1500000US261635081004
240,131,109,1500000US261635081005
183,183,0,1500000US261635104001
93,93,0,1500000US261635104002
238,238,0,1500000US261635104003
135,135,0,1500000US261635105001
1854,1854,0,1500000US261635105002
199,199,0,1500000US261635105003
2069,2016,53,1500000US261635105004
999,999,0,1500000US261635106001
2285,2285,0,1500000US261635106002
2790,2784,6,1500000US261635106003
633,633,0,1500000US261635107001
1373,1373,0,1500000US261635107002
164,164,0,1500000US261635110001
211,211,0,1500000US261635110002
654,654,0,1500000US261635110003
533,521,12,1500000US261635110004
904,904,0,1500000US261635112001
300,300,0,1500000US261635112002
1538,1538,0,1500000US261635113001
491,491,0,1500000US261635113002
485,485,0,1500000US261635113003
496,496,0,1500000US261635114001
718,683,35,1500000US261635114002
289,269,20,1500000US261635114003
247,247,0,1500000US261635114004
614,603,11,1500000US261635114005
865,865,0,1500000US261635119001
504,484,20,1500000US261635119002
528,528,0,1500000US261635121001
679,679,0,1500000US261635121002
643,643,0,1500000US261635121003
470,470,0,1500000US261635121004
387,387,0,1500000US261635121005
849,849,0,1500000US261635122001
212,212,0,1500000US261635122002
844,844,0,1500000US261635123001
561,561,0,1500000US261635123002
385,385,0,1500000US261635124001
242,242,0,1500000US261635124002
470,470,0,1500000US261635124003
360,360,0,1500000US261635126001
350,350,0,1500000US261635126002
229,229,0,1500000US261635126003
240,240,0,1500000US261635126004
522,459,63,1500000US261635129001
557,557,0,1500000US261635129002
149,149,0,1500000US261635129003
549,549,0,1500000US261635132001
518,518,0,1500000US261635132002
601,596,5,1500000US261635132003
1177,1121,56,1500000US261635133001
1303,1265,38,1500000US261635133002
338,338,0,1500000US261635136001
1041,1041,0,1500000US261635136002
1304,1304,0,1500000US261635137001
1102,1094,8,1500000US261635137002
1210,1210,0,1500000US261635137003
780,780,0,1500000US261635139001
959,959,0,1500000US261635139002
140,140,0,1500000US261635139003
786,786,0,1500000US261635141001
506,506,0,1500000US261635141002
574,565,9,1500000US261635141003
719,719,0,1500000US261635141004
511,511,0,1500000US261635142001
408,408,0,1500000US261635142002
472,472,0,1500000US261635142003
157,157,0,1500000US261635142004
719,664,55,1500000US261635142005
968,958,10,1500000US261635143001
518,518,0,1500000US261635143002
1064,1064,0,1500000US261635143003
428,428,0,1500000US261635145001
515,515,0,1500000US261635145002
1112,1088,24,1500000US261635152001
839,723,116,1500000US261635152002
1221,1155,66,1500000US261635153001
1388,1367,21,1500000US261635153002
563,563,0,1500000US261635153003
656,632,24,1500000US261635154001
977,964,13,1500000US261635154002
714,714,0,1500000US261635156001
742,742,0,1500000US261635156002
3078,3063,15,1500000US261635157001
641,601,40,1500000US261635157002
746,746,0,1500000US261635159001
201,201,0,1500000US261635159002
393,391,2,1500000US261635159003
1104,1101,3,1500000US261635160001
254,254,0,1500000US261635160002
478,471,7,1500000US261635160003
394,386,8,1500000US261635160004
217,217,0,1500000US261635161001
359,354,5,1500000US261635161002
237,237,0,1500000US261635162001
408,408,0,1500000US261635162002
720,708,12,1500000US261635163001
581,568,13,1500000US261635164001
274,274,0,1500000US261635164002
1901,1891,10,1500000US261635165001
1655,1655,0,1500000US261635166001
879,853,26,1500000US261635166002
2260,2260,0,1500000US261635167001
934,934,0,1500000US261635167002
477,471,6,1500000US261635168001
471,471,0,1500000US261635168002
2052,2052,0,1500000US261635169001
3111,3040,71,1500000US261635170001
1167,1157,10,1500000US261635171001
895,843,52,1500000US261635172001
1576,1481,95,1500000US261635172002
1385,1377,8,1500000US261635173001
1051,1051,0,1500000US261635173002
897,885,12,1500000US261635175001
1307,1263,44,1500000US261635175002
487,487,0,1500000US261635175003
1227,1202,25,1500000US261635180001
1636,1584,52,1500000US261635180002
181,181,0,1500000US261635184001
88,88,0,1500000US261635184002
228,223,5,1500000US261635185001
605,594,11,1500000US261635185002
227,227,0,1500000US261635186001
146,145,1,1500000US261635186002
272,272,0,1500000US261635188001
293,291,2,1500000US261635188002
1855,1848,7,1500000US261635189001
1517,1472,45,1500000US261635202001
1621,1548,73,1500000US261635202002
1996,1930,66,1500000US261635203001
628,583,45,1500000US261635203002
1941,1925,16,1500000US261635204001
1171,1143,28,1500000US261635207001
1665,1622,43,1500000US261635207002
1728,1624,104,1500000US261635208001
826,548,278,1500000US261635211001
1123,582,541,1500000US261635211002
889,602,287,1500000US261635213001
1147,998,149,1500000US261635214001
679,673,6,1500000US261635215001
835,707,128,1500000US261635215002
1625,1586,39,1500000US261635218001
785,760,25,1500000US261635219001
1194,1194,0,1500000US261635219002
1126,1089,37,1500000US261635219003
1936,1916,20,1500000US261635220001
237,237,0,1500000US261635221001
425,360,65,1500000US261635221002
242,242,0,1500000US261635222001
148,145,3,1500000US261635222002
290,290,0,1500000US261635223001
976,963,13,1500000US261635223002
151,151,0,1500000US261635224001
