Median age,Median age - Male,Median age - Female,id
40,37.7,40.4,1500000US261635001001
31.4,27.2,36.4,1500000US261635001002
31.5,31.3,48.7,1500000US261635001003
27.8,27.3,28.6,1500000US261635001004
28.8,28.7,29.1,1500000US261635002001
30.7,30.4,33.4,1500000US261635002002
29.7,30.1,28,1500000US261635002003
31.9,27.4,36.8,1500000US261635002004
25.8,26.8,25.5,1500000US261635003001
28.2,32.6,25.8,1500000US261635003002
29.1,30.4,22.7,1500000US261635003003
34,40.2,33.3,1500000US261635003004
30.1,31.7,29.8,1500000US261635004001
37.5,45,37,1500000US261635004002
29.7,31.8,29.4,1500000US261635004003
32,36.2,30.6,1500000US261635004004
30.3,30.2,30.5,1500000US261635005001
24.1,23.1,24.8,1500000US261635005002
28,27.2,36.2,1500000US261635005003
58.4,45.9,59.7,1500000US261635005004
30.2,32.2,28.7,1500000US261635006001
25.9,38.7,25.4,1500000US261635006002
29,25.5,29,1500000US261635006003
29.7,39.3,29.5,1500000US261635006004
18.4,11.9,24.9,1500000US261635006005
21.4,13.3,27,1500000US261635007001
28.5,18.5,31.3,1500000US261635007002
31.3,29.7,37.7,1500000US261635007003
33.5,33.9,30.8,1500000US261635007004
29.8,23.1,34.5,1500000US261635008001
29.1,26,33.4,1500000US261635008002
32.8,33.4,32.3,1500000US261635009001
40.4,32.7,40.9,1500000US261635009002
41.1,34.6,42.7,1500000US261635009003
37.7,37.2,41.4,1500000US261635009004
38.3,33.8,46.3,1500000US261635010001
51,52.3,50.4,1500000US261635010002
22.5,25.4,20.5,1500000US261635010003
43.1,48.5,43.1,1500000US261635011001
43.6,38.5,44.6,1500000US261635011002
46.4,46.5,46.2,1500000US261635011003
27.7,26.4,31.7,1500000US261635011004
22.1,17.7,38.1,1500000US261635011005
27.3,26.5,29,1500000US261635012001
36.1,41.5,34.7,1500000US261635012002
34.7,35.6,34.5,1500000US261635013001
50.4,43.9,50.4,1500000US261635013002
29.2,37.3,29.1,1500000US261635013003
49,43.8,81.1,1500000US261635013004
24.8,23.4,31.4,1500000US261635013005
41.8,36.5,43.9,1500000US261635014001
36.1,31.6,36.5,1500000US261635014002
36.3,26.9,37.9,1500000US261635014003
23.9,12.9,43.5,1500000US261635014004
37.4,41.5,26.5,1500000US261635015001
17.3,13.1,17.6,1500000US261635015002
39.6,39.5,41.1,1500000US261635015003
27.7,36.5,25.2,1500000US261635015004
27.5,20.6,28.4,1500000US261635015005
26.7,26.3,26.9,1500000US261635016001
26.6,23.5,28.3,1500000US261635016002
46.8,50,46.2,1500000US261635017001
51.9,45.7,55.8,1500000US261635017002
32.5,32.5,33.1,1500000US261635018001
43.5,37.5,50,1500000US261635018002
36.5,35.3,49.2,1500000US261635018003
45.7,45.5,47,1500000US261635018004
27.6,16.1,29.9,1500000US261635019001
31.9,26.8,49,1500000US261635019002
47.6,42.5,50.1,1500000US261635019003
23.1,27.4,18.4,1500000US261635019004
23.8,19.7,27.9,1500000US261635020001
30.9,33.1,30.3,1500000US261635020002
28.5,27.5,32.5,1500000US261635031001
31.7,35.8,26.2,1500000US261635031002
29.3,37.3,27.2,1500000US261635031003
26.4,33.7,25.5,1500000US261635032001
24.9,18.4,33.2,1500000US261635032002
29.6,24.8,30.6,1500000US261635032003
37.5,31.8,46,1500000US261635033001
29.5,35,28.9,1500000US261635033002
28.1,31.6,27.6,1500000US261635033003
26.3,25.6,26.6,1500000US261635033004
32.5,32.8,30.9,1500000US261635034001
44.7,44.6,44.8,1500000US261635034002
23.6,23.5,24,1500000US261635035001
30.3,30.8,16.9,1500000US261635035002
27.5,27.3,29.6,1500000US261635035003
25.9,10.2,33.1,1500000US261635035004
23.7,51.6,20.9,1500000US261635035005
37.5,39.1,33.8,1500000US261635036001
40.6,40.9,34.8,1500000US261635036002
30.9,34.2,30.6,1500000US261635036003
41.4,38.6,41.6,1500000US261635039001
28.2,26.9,34.5,1500000US261635039002
38.9,37.2,43.5,1500000US261635039003
31.1,31.3,30.8,1500000US261635040001
41.6,51.1,29.8,1500000US261635040002
33.2,29.6,33.5,1500000US261635041001
41.8,54.4,32.9,1500000US261635041002
28.5,27.5,30.7,1500000US261635041003
47.8,27.6,54.2,1500000US261635042001
22.4,20,27.9,1500000US261635042002
29.1,29.7,28.3,1500000US261635042003
53.3,57.6,38.5,1500000US261635042004
34,31.8,35.8,1500000US261635043001
42.2,44.7,29.4,1500000US261635043002
37.7,27.6,47.6,1500000US261635043003
34.8,41.4,28,1500000US261635044001
44.1,39.4,49.5,1500000US261635044002
21.8,17.5,24.8,1500000US261635044003
45.4,25.9,51.3,1500000US261635047001
37.5,34.3,38.7,1500000US261635047002
43.2,43.4,33.2,1500000US261635047003
55.1,55.1,57,1500000US261635048001
31.1,31.5,26,1500000US261635048002
28.8,42.6,20.3,1500000US261635049001
25.6,20.6,34.3,1500000US261635049002
30.9,28,33.4,1500000US261635049003
27.5,27.7,26.8,1500000US261635049004
32.3,49.2,25.2,1500000US261635050001
24.3,23.4,24.7,1500000US261635050002
29.6,35.1,26,1500000US261635051001
43.7,43.7,43.8,1500000US261635051002
36.3,36.7,33.5,1500000US261635051003
32.4,-,28.7,1500000US261635051004
43.3,39.7,44.8,1500000US261635051005
30.6,31.1,30.5,1500000US261635052001
38.3,59.3,29.6,1500000US261635052002
42.3,43.6,35.6,1500000US261635052003
33.1,27.6,34,1500000US261635052004
28,27.5,28.7,1500000US261635054001
28.1,25.5,33.1,1500000US261635054002
29.9,29.8,33.1,1500000US261635054003
36.1,35.5,37,1500000US261635054004
41.9,42,39.9,1500000US261635055001
38.9,34,50.2,1500000US261635055002
28.4,18.6,38.1,1500000US261635061001
29.8,29.3,30.3,1500000US261635061002
27.1,25,27.8,1500000US261635062001
43.8,30.9,50.4,1500000US261635062002
38.5,48.3,34.8,1500000US261635063001
39.2,33.4,44,1500000US261635063002
46.8,42.5,54.1,1500000US261635063003
33,38.6,32.7,1500000US261635064001
24.9,32.2,24.7,1500000US261635064002
38,38,33.5,1500000US261635064003
31.3,26.9,53.2,1500000US261635065001
38.4,32.8,41.9,1500000US261635065002
30.7,30.7,30.7,1500000US261635065003
39.2,27.5,41.9,1500000US261635066001
34,31.7,34.3,1500000US261635066002
