Estimate!!Total,GEO_ID
1123,1500000US261635001001
912,1500000US261635001002
465,1500000US261635001003
869,1500000US261635001004
681,1500000US261635002001
596,1500000US261635002002
679,1500000US261635002003
878,1500000US261635002004
598,1500000US261635003001
531,1500000US261635003002
388,1500000US261635003003
383,1500000US261635003004
200,1500000US261635004001
146,1500000US261635004002
383,1500000US261635004003
323,1500000US261635004004
672,1500000US261635005001
280,1500000US261635005002
217,1500000US261635005003
120,1500000US261635005004
918,1500000US261635006001
593,1500000US261635006002
416,1500000US261635006003
380,1500000US261635006004
584,1500000US261635006005
1386,1500000US261635007001
998,1500000US261635007002
956,1500000US261635007003
1268,1500000US261635007004
1618,1500000US261635008001
1561,1500000US261635008002
1635,1500000US261635009001
799,1500000US261635009002
667,1500000US261635009003
449,1500000US261635009004
832,1500000US261635010001
423,1500000US261635010002
1839,1500000US261635010003
386,1500000US261635011001
514,1500000US261635011002
319,1500000US261635011003
995,1500000US261635011004
672,1500000US261635011005
968,1500000US261635012001
680,1500000US261635012002
497,1500000US261635013001
279,1500000US261635013002
680,1500000US261635013003
244,1500000US261635013004
1311,1500000US261635013005
761,1500000US261635014001
885,1500000US261635014002
757,1500000US261635014003
855,1500000US261635014004
1108,1500000US261635015001
672,1500000US261635015002
595,1500000US261635015003
511,1500000US261635015004
1630,1500000US261635015005
1222,1500000US261635016001
927,1500000US261635016002
984,1500000US261635017001
904,1500000US261635017002
1063,1500000US261635018001
1182,1500000US261635018002
985,1500000US261635018003
1503,1500000US261635018004
771,1500000US261635019001
481,1500000US261635019002
556,1500000US261635019003
1064,1500000US261635019004
1307,1500000US261635020001
769,1500000US261635020002
1286,1500000US261635031001
984,1500000US261635031002
826,1500000US261635031003
1091,1500000US261635032001
580,1500000US261635032002
782,1500000US261635032003
707,1500000US261635033001
982,1500000US261635033002
1288,1500000US261635033003
531,1500000US261635033004
610,1500000US261635034001
345,1500000US261635034002
664,1500000US261635035001
279,1500000US261635035002
842,1500000US261635035003
250,1500000US261635035004
749,1500000US261635035005
296,1500000US261635036001
290,1500000US261635036002
845,1500000US261635036003
472,1500000US261635039001
259,1500000US261635039002
1340,1500000US261635039003
807,1500000US261635040001
434,1500000US261635040002
231,1500000US261635041001
371,1500000US261635041002
755,1500000US261635041003
503,1500000US261635042001
609,1500000US261635042002
585,1500000US261635042003
229,1500000US261635042004
540,1500000US261635043001
745,1500000US261635043002
782,1500000US261635043003
534,1500000US261635044001
427,1500000US261635044002
606,1500000US261635044003
622,1500000US261635047001
695,1500000US261635047002
397,1500000US261635047003
210,1500000US261635048001
381,1500000US261635048002
520,1500000US261635049001
695,1500000US261635049002
1433,1500000US261635049003
838,1500000US261635049004
579,1500000US261635050001
216,1500000US261635050002
1683,1500000US261635051001
658,1500000US261635051002
755,1500000US261635051003
120,1500000US261635051004
520,1500000US261635051005
977,1500000US261635052001
434,1500000US261635052002
368,1500000US261635052003
1182,1500000US261635052004
994,1500000US261635054001
430,1500000US261635054002
339,1500000US261635054003
649,1500000US261635054004
667,1500000US261635055001
495,1500000US261635055002
1230,1500000US261635061001
784,1500000US261635061002
1233,1500000US261635062001
741,1500000US261635062002
477,1500000US261635063001
570,1500000US261635063002
745,1500000US261635063003
376,1500000US261635064001
514,1500000US261635064002
1125,1500000US261635064003
510,1500000US261635065001
806,1500000US261635065002
825,1500000US261635065003
682,1500000US261635066001
1317,1500000US261635066002
284,1500000US261635066003
1140,1500000US261635066004
1066,1500000US261635067001
941,1500000US261635068001
885,1500000US261635068002
1721,1500000US261635068003
343,1500000US261635068004
773,1500000US261635069001
728,1500000US261635069002
519,1500000US261635069003
760,1500000US261635069004
791,1500000US261635069005
1468,1500000US261635070001
844,1500000US261635070002
644,1500000US261635070003
211,1500000US261635071001
1046,1500000US261635071002
310,1500000US261635071003
515,1500000US261635071004
442,1500000US261635072001
649,1500000US261635072002
1066,1500000US261635073001
405,1500000US261635073002
471,1500000US261635073003
408,1500000US261635074001
963,1500000US261635074002
484,1500000US261635074003
305,1500000US261635074004
799,1500000US261635075001
844,1500000US261635075002
226,1500000US261635075003
389,1500000US261635078001
67,1500000US261635078002
215,1500000US261635079001
131,1500000US261635079002
611,1500000US261635079003
145,1500000US261635079004
289,1500000US261635080001
984,1500000US261635080002
279,1500000US261635081001
213,1500000US261635081002
246,1500000US261635081003
274,1500000US261635081004
240,1500000US261635081005
183,1500000US261635104001
93,1500000US261635104002
238,1500000US261635104003
135,1500000US261635105001
1854,1500000US261635105002
199,1500000US261635105003
2069,1500000US261635105004
999,1500000US261635106001
2285,1500000US261635106002
2790,1500000US261635106003
633,1500000US261635107001
1373,1500000US261635107002
164,1500000US261635110001
211,1500000US261635110002
654,1500000US261635110003
533,1500000US261635110004
904,1500000US261635112001
300,1500000US261635112002
1538,1500000US261635113001
491,1500000US261635113002
485,1500000US261635113003
496,1500000US261635114001
718,1500000US261635114002
289,1500000US261635114003
247,1500000US261635114004
614,1500000US261635114005
865,1500000US261635119001
504,1500000US261635119002
528,1500000US261635121001
679,1500000US261635121002
643,1500000US261635121003
470,1500000US261635121004
387,1500000US261635121005
849,1500000US261635122001
212,1500000US261635122002
844,1500000US261635123001
561,1500000US261635123002
385,1500000US261635124001
242,1500000US261635124002
470,1500000US261635124003
360,1500000US261635126001
350,1500000US261635126002
229,1500000US261635126003
240,1500000US261635126004
522,1500000US261635129001
557,1500000US261635129002
149,1500000US261635129003
549,1500000US261635132001
518,1500000US261635132002
601,1500000US261635132003
1177,1500000US261635133001
1303,1500000US261635133002
338,1500000US261635136001
1041,1500000US261635136002
1304,1500000US261635137001
1102,1500000US261635137002
1210,1500000US261635137003
780,1500000US261635139001
959,1500000US261635139002
140,1500000US261635139003
786,1500000US261635141001
506,1500000US261635141002
574,1500000US261635141003
719,1500000US261635141004
511,1500000US261635142001
408,1500000US261635142002
472,1500000US261635142003
157,1500000US261635142004
719,1500000US261635142005
968,1500000US261635143001
518,1500000US261635143002
1064,1500000US261635143003
428,1500000US261635145001
515,1500000US261635145002
1112,1500000US261635152001
839,1500000US261635152002
1221,1500000US261635153001
1388,1500000US261635153002
563,1500000US261635153003
656,1500000US261635154001
977,1500000US261635154002
714,1500000US261635156001
742,1500000US261635156002
3078,1500000US261635157001
641,1500000US261635157002
746,1500000US261635159001
201,1500000US261635159002
393,1500000US261635159003
1104,1500000US261635160001
254,1500000US261635160002
478,1500000US261635160003
394,1500000US261635160004
217,1500000US261635161001
359,1500000US261635161002
237,1500000US261635162001
408,1500000US261635162002
720,1500000US261635163001
581,1500000US261635164001
274,1500000US261635164002
1901,1500000US261635165001
1655,1500000US261635166001
879,1500000US261635166002
2260,1500000US261635167001
934,1500000US261635167002
477,1500000US261635168001
471,1500000US261635168002
2052,1500000US261635169001
3111,1500000US261635170001
