Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races",GEO_ID
1123,130,993,0,0,0,0,0,0,0,1500000US261635001001
912,58,824,0,0,0,0,30,0,30,1500000US261635001002
465,18,437,0,0,0,0,10,0,10,1500000US261635001003
869,0,869,0,0,0,0,0,0,0,1500000US261635001004
681,142,539,0,0,0,0,0,0,0,1500000US261635002001
596,33,563,0,0,0,0,0,0,0,1500000US261635002002
679,19,660,0,0,0,0,0,0,0,1500000US261635002003
878,0,878,0,0,0,0,0,0,0,1500000US261635002004
598,26,566,0,0,0,0,6,0,6,1500000US261635003001
531,11,488,0,21,0,0,11,0,11,1500000US261635003002
388,3,374,0,0,0,0,11,0,11,1500000US261635003003
383,61,322,0,0,0,0,0,0,0,1500000US261635003004
200,21,157,0,0,0,0,22,0,22,1500000US261635004001
146,0,146,0,0,0,0,0,0,0,1500000US261635004002
383,0,383,0,0,0,0,0,0,0,1500000US261635004003
323,6,317,0,0,0,0,0,0,0,1500000US261635004004
672,11,661,0,0,0,0,0,0,0,1500000US261635005001
280,0,280,0,0,0,0,0,0,0,1500000US261635005002
217,0,217,0,0,0,0,0,0,0,1500000US261635005003
120,16,104,0,0,0,0,0,0,0,1500000US261635005004
918,0,918,0,0,0,0,0,0,0,1500000US261635006001
593,0,593,0,0,0,0,0,0,0,1500000US261635006002
416,4,409,0,0,0,0,3,0,3,1500000US261635006003
380,0,380,0,0,0,0,0,0,0,1500000US261635006004
584,0,584,0,0,0,0,0,0,0,1500000US261635006005
1386,35,1351,0,0,0,0,0,0,0,1500000US261635007001
998,31,798,102,0,0,0,67,0,67,1500000US261635007002
956,11,945,0,0,0,0,0,0,0,1500000US261635007003
1268,70,1198,0,0,0,0,0,0,0,1500000US261635007004
1618,133,1466,0,0,0,0,19,9,10,1500000US261635008001
1561,86,1378,22,34,0,7,34,0,34,1500000US261635008002
1635,53,1546,0,0,0,0,36,0,36,1500000US261635009001
799,6,784,9,0,0,0,0,0,0,1500000US261635009002
667,21,646,0,0,0,0,0,0,0,1500000US261635009003
449,55,394,0,0,0,0,0,0,0,1500000US261635009004
832,0,832,0,0,0,0,0,0,0,1500000US261635010001
423,32,391,0,0,0,0,0,0,0,1500000US261635010002
1839,16,1813,0,0,0,0,10,0,10,1500000US261635010003
386,0,386,0,0,0,0,0,0,0,1500000US261635011001
514,0,514,0,0,0,0,0,0,0,1500000US261635011002
319,2,290,0,0,0,13,14,0,14,1500000US261635011003
995,61,934,0,0,0,0,0,0,0,1500000US261635011004
672,0,672,0,0,0,0,0,0,0,1500000US261635011005
968,5,963,0,0,0,0,0,0,0,1500000US261635012001
680,16,639,0,0,0,0,25,0,25,1500000US261635012002
497,0,489,0,0,0,0,8,0,8,1500000US261635013001
279,6,273,0,0,0,0,0,0,0,1500000US261635013002
680,32,648,0,0,0,0,0,0,0,1500000US261635013003
244,0,244,0,0,0,0,0,0,0,1500000US261635013004
1311,20,1280,0,0,10,0,1,0,1,1500000US261635013005
761,262,499,0,0,0,0,0,0,0,1500000US261635014001
885,133,752,0,0,0,0,0,0,0,1500000US261635014002
757,96,661,0,0,0,0,0,0,0,1500000US261635014003
855,56,748,0,0,0,0,51,0,51,1500000US261635014004
1108,140,968,0,0,0,0,0,0,0,1500000US261635015001
672,17,655,0,0,0,0,0,0,0,1500000US261635015002
595,120,475,0,0,0,0,0,0,0,1500000US261635015003
511,113,398,0,0,0,0,0,0,0,1500000US261635015004
1630,60,1518,0,0,0,13,39,0,39,1500000US261635015005
1222,190,1018,0,0,0,0,14,0,14,1500000US261635016001
927,190,719,0,0,0,18,0,0,0,1500000US261635016002
984,206,694,16,41,0,14,13,13,0,1500000US261635017001
904,326,565,13,0,0,0,0,0,0,1500000US261635017002
1063,235,781,0,0,0,0,47,0,47,1500000US261635018001
1182,303,744,0,0,0,0,135,57,78,1500000US261635018002
985,283,694,0,0,0,0,8,0,8,1500000US261635018003
1503,306,988,20,0,0,0,189,10,179,1500000US261635018004
771,35,736,0,0,0,0,0,0,0,1500000US261635019001
481,94,360,0,6,0,0,21,0,21,1500000US261635019002
556,46,510,0,0,0,0,0,0,0,1500000US261635019003
1064,39,1025,0,0,0,0,0,0,0,1500000US261635019004
1307,84,1159,0,0,0,0,64,0,64,1500000US261635020001
769,61,702,1,0,0,0,5,0,5,1500000US261635020002
1286,3,1270,0,0,0,0,13,0,13,1500000US261635031001
984,105,858,0,0,0,5,16,0,16,1500000US261635031002
826,19,807,0,0,0,0,0,0,0,1500000US261635031003
1091,16,1075,0,0,0,0,0,0,0,1500000US261635032001
580,41,539,0,0,0,0,0,0,0,1500000US261635032002
782,67,715,0,0,0,0,0,0,0,1500000US261635032003
707,37,639,0,31,0,0,0,0,0,1500000US261635033001
982,9,963,0,0,0,0,10,0,10,1500000US261635033002
1288,0,1277,0,0,0,0,11,11,0,1500000US261635033003
531,0,531,0,0,0,0,0,0,0,1500000US261635033004
610,20,530,0,55,0,0,5,0,5,1500000US261635034001
345,24,301,0,20,0,0,0,0,0,1500000US261635034002
664,0,664,0,0,0,0,0,0,0,1500000US261635035001
279,0,272,7,0,0,0,0,0,0,1500000US261635035002
842,9,833,0,0,0,0,0,0,0,1500000US261635035003
250,0,250,0,0,0,0,0,0,0,1500000US261635035004
749,0,697,25,27,0,0,0,0,0,1500000US261635035005
296,9,287,0,0,0,0,0,0,0,1500000US261635036001
290,15,194,0,81,0,0,0,0,0,1500000US261635036002
845,7,788,0,0,0,0,50,0,50,1500000US261635036003
472,6,466,0,0,0,0,0,0,0,1500000US261635039001
259,6,253,0,0,0,0,0,0,0,1500000US261635039002
1340,40,1279,0,0,0,0,21,0,21,1500000US261635039003
807,16,773,18,0,0,0,0,0,0,1500000US261635040001
434,4,428,0,2,0,0,0,0,0,1500000US261635040002
231,0,231,0,0,0,0,0,0,0,1500000US261635041001
371,0,371,0,0,0,0,0,0,0,1500000US261635041002
755,0,751,0,0,0,4,0,0,0,1500000US261635041003
503,65,438,0,0,0,0,0,0,0,1500000US261635042001
609,4,595,0,0,0,0,10,0,10,1500000US261635042002
585,12,573,0,0,0,0,0,0,0,1500000US261635042003
229,0,229,0,0,0,0,0,0,0,1500000US261635042004
540,0,533,0,0,0,7,0,0,0,1500000US261635043001
745,30,715,0,0,0,0,0,0,0,1500000US261635043002
782,46,736,0,0,0,0,0,0,0,1500000US261635043003
534,0,531,3,0,0,0,0,0,0,1500000US261635044001
427,23,398,6,0,0,0,0,0,0,1500000US261635044002
606,0,606,0,0,0,0,0,0,0,1500000US261635044003
622,19,603,0,0,0,0,0,0,0,1500000US261635047001
695,0,695,0,0,0,0,0,0,0,1500000US261635047002
397,0,397,0,0,0,0,0,0,0,1500000US261635047003
210,0,210,0,0,0,0,0,0,0,1500000US261635048001
381,0,381,0,0,0,0,0,0,0,1500000US261635048002
520,9,467,0,0,0,44,0,0,0,1500000US261635049001
695,31,576,0,0,0,0,88,0,88,1500000US261635049002
1433,14,1356,0,0,0,0,63,0,63,1500000US261635049003
838,6,832,0,0,0,0,0,0,0,1500000US261635049004
579,12,561,0,0,0,0,6,0,6,1500000US261635050001
216,0,216,0,0,0,0,0,0,0,1500000US261635050002
1683,57,1626,0,0,0,0,0,0,0,1500000US261635051001
658,38,620,0,0,0,0,0,0,0,1500000US261635051002
755,137,604,0,0,0,14,0,0,0,1500000US261635051003
120,0,120,0,0,0,0,0,0,0,1500000US261635051004
520,132,388,0,0,0,0,0,0,0,1500000US261635051005
977,4,963,0,0,0,0,10,0,10,1500000US261635052001
434,18,411,5,0,0,0,0,0,0,1500000US261635052002
368,76,272,0,0,20,0,0,0,0,1500000US261635052003
1182,55,1127,0,0,0,0,0,0,0,1500000US261635052004
994,0,946,0,0,0,48,0,0,0,1500000US261635054001
430,70,343,16,1,0,0,0,0,0,1500000US261635054002
339,49,259,0,0,0,0,31,0,31,1500000US261635054003
649,40,609,0,0,0,0,0,0,0,1500000US261635054004
667,44,593,13,12,0,0,5,5,0,1500000US261635055001
495,8,487,0,0,0,0,0,0,0,1500000US261635055002
1230,68,1162,0,0,0,0,0,0,0,1500000US261635061001
784,62,670,25,13,0,0,14,0,14,1500000US261635061002
1233,12,1221,0,0,0,0,0,0,0,1500000US261635062001
741,51,685,0,0,0,0,5,0,5,1500000US261635062002
477,5,472,0,0,0,0,0,0,0,1500000US261635063001
570,36,522,0,0,0,12,0,0,0,1500000US261635063002
745,13,714,0,0,0,0,18,0,18,1500000US261635063003
376,13,363,0,0,0,0,0,0,0,1500000US261635064001
514,25,468,0,0,0,0,21,0,21,1500000US261635064002
1125,502,562,5,4,0,0,52,12,40,1500000US261635064003
510,0,510,0,0,0,0,0,0,0,1500000US261635065001
806,0,806,0,0,0,0,0,0,0,1500000US261635065002
825,18,807,0,0,0,0,0,0,0,1500000US261635065003
682,13,669,0,0,0,0,0,0,0,1500000US261635066001
1317,90,1117,0,59,0,51,0,0,0,1500000US261635066002
284,3,281,0,0,0,0,0,0,0,1500000US261635066003
1140,9,1131,0,0,0,0,0,0,0,1500000US261635066004
1066,55,1011,0,0,0,0,0,0,0,1500000US261635067001
941,86,855,0,0,0,0,0,0,0,1500000US261635068001
885,10,875,0,0,0,0,0,0,0,1500000US261635068002
